# DURATION     TID     FUNCTION
  10.713 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.138 us [ 63010] |           fuse_get_context();
   0.547 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.150 us [ 63010] |           strcmp();
   0.457 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.500 us [ 63010] |             lseek();
   0.949 us [ 63010] |             read();
   1.971 us [ 63010] |           } /* disk_read */
   2.216 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.446 us [ 63010] |             lseek();
   1.024 us [ 63010] |             read();
   2.054 us [ 63010] |           } /* disk_read */
   2.269 us [ 63010] |         } /* read_block */
   0.141 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   0.134 us [ 63010] |         strcmp();
   7.233 us [ 63010] |       } /* sfuse_readdir_cb */
  11.594 us [ 63010] |       /* linux:schedule */
  31.839 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.146 us [ 63010] |           fuse_get_context();
   0.472 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.153 us [ 63010] |           strcmp();
   0.454 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.495 us [ 63010] |             lseek();
   0.999 us [ 63010] |             read();
   2.015 us [ 63010] |           } /* disk_read */
   2.250 us [ 63010] |         } /* inode_load */
   0.127 us [ 63010] |         memset();
   3.931 us [ 63010] |       } /* sfuse_getattr_cb */
  58.696 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.139 us [ 63010] |           fuse_get_context();
   0.528 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.146 us [ 63010] |           strcmp();
   0.458 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.498 us [ 63010] |             lseek();
   0.938 us [ 63010] |             read();
   1.955 us [ 63010] |           } /* disk_read */
   2.204 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.438 us [ 63010] |             lseek();
   1.031 us [ 63010] |             read();
   1.954 us [ 63010] |           } /* disk_read */
   2.193 us [ 63010] |         } /* read_block */
   0.130 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.136 us [ 63010] |         strcmp();
   7.464 us [ 63010] |       } /* sfuse_readdir_cb */
  15.837 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.141 us [ 63010] |           fuse_get_context();
   0.545 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.147 us [ 63010] |           strcmp();
   0.460 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.508 us [ 63010] |             lseek();
   0.962 us [ 63010] |             read();
   1.986 us [ 63010] |           } /* disk_read */
   2.226 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.460 us [ 63010] |             lseek();
   1.057 us [ 63010] |             read();
   7.007 us [ 63010] |           } /* disk_read */
   7.344 us [ 63010] |         } /* read_block */
   0.143 us [ 63010] |         strcmp();
   0.128 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
  12.277 us [ 63010] |       } /* sfuse_readdir_cb */
  20.449 us [ 63010] |       /* linux:schedule */
  31.985 us [ 63010] |       /* linux:schedule */
  10.775 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.147 us [ 63010] |           fuse_get_context();
   0.489 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.151 us [ 63010] |           strcmp();
   0.460 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.499 us [ 63010] |             lseek();
   0.963 us [ 63010] |             read();
   2.063 us [ 63010] |           } /* disk_read */
   2.305 us [ 63010] |         } /* inode_load */
   0.128 us [ 63010] |         memset();
   3.942 us [ 63010] |       } /* sfuse_getattr_cb */
  22.703 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.142 us [ 63010] |           fuse_get_context();
   0.559 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.147 us [ 63010] |           strcmp();
   0.451 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.481 us [ 63010] |             lseek();
   0.985 us [ 63010] |             read();
   1.987 us [ 63010] |           } /* disk_read */
   2.184 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.442 us [ 63010] |             lseek();
   1.034 us [ 63010] |             read();
   1.984 us [ 63010] |           } /* disk_read */
   2.231 us [ 63010] |         } /* read_block */
   0.128 us [ 63010] |         strcmp();
   0.128 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   7.612 us [ 63010] |       } /* sfuse_readdir_cb */
  10.813 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.140 us [ 63010] |           fuse_get_context();
   0.483 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.146 us [ 63010] |           strcmp();
